Kind,Name,File,PercentLackOfCohesion,CountClassCoupled,AvgCyclomatic,SumCyclomatic,MaxNesting,Essential,CountClassDerived,MaxInheritanceTree,CountClassBase,CountLineCode,CountLineComment,CountDeclClass,CountDeclInstanceMethod
File,"androidTest\java\br\alu\ufc\robertcabral\consultorio\ExampleInstrumentedTest.java",androidTest\java\br\alu\ufc\robertcabral\consultorio\ExampleInstrumentedTest.java,,,1,1,0,,,,,15,6,1,1
Package,"br",,,,0,0,0,,,,,0,0,0,0
Package,"br.alu",,,,0,0,0,,,,,0,0,0,0
Package,"br.alu.ufc",,,,0,0,0,,,,,0,0,0,0
Package,"br.alu.ufc.robertcabral",,,,0,0,0,,,,,0,0,0,0
Package,"br.alu.ufc.robertcabral.consultorio",androidTest\java\br\alu\ufc\robertcabral\consultorio\ExampleInstrumentedTest.java,,,1,2,0,,,,,24,11,2,2
Public Class,"br.alu.ufc.robertcabral.consultorio.ExampleInstrumentedTest",androidTest\java\br\alu\ufc\robertcabral\consultorio\ExampleInstrumentedTest.java,0,3,1,1,0,,0,1,1,7,6,,1
Public Method,"br.alu.ufc.robertcabral.consultorio.ExampleInstrumentedTest.useAppContext",androidTest\java\br\alu\ufc\robertcabral\consultorio\ExampleInstrumentedTest.java,,,,1,0,1,,,,4,1,,
Public Class,"br.alu.ufc.robertcabral.consultorio.ExampleUnitTest",test\java\br\alu\ufc\robertcabral\consultorio\ExampleUnitTest.java,0,1,1,1,0,,0,1,1,5,5,,1
Public Method,"br.alu.ufc.robertcabral.consultorio.ExampleUnitTest.addition_isCorrect",test\java\br\alu\ufc\robertcabral\consultorio\ExampleUnitTest.java,,,,1,0,1,,,,3,0,,
Package,"br.alu.ufc.robertcabral.consultorio.activitys",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,,,1,299,3,,,,,1924,62,52,137
Public Class,"br.alu.ufc.robertcabral.consultorio.activitys.AddAdminActivity",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,75,23,1,9,0,,0,2,2,152,0,,4
Anonymous Class,"br.alu.ufc.robertcabral.consultorio.activitys.AddAdminActivity.(Anon_4)",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,0,10,2,4,1,,0,2,1,17,0,,2
Public Method,"br.alu.ufc.robertcabral.consultorio.activitys.AddAdminActivity.(Anon_4).onCancelled",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,,,,1,0,1,,,,2,0,,
Public Method,"br.alu.ufc.robertcabral.consultorio.activitys.AddAdminActivity.(Anon_4).onDataChange",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,,,,3,1,1,,,,12,0,,
Public Method,"br.alu.ufc.robertcabral.consultorio.activitys.AddAdminActivity.onClick",main\java\br\alu\ufc\robertcabral\consultorio\activitys\AddAdminActivity.java,,,,1,0,1,,,,2,0,,
